Date,2010,2019,2020,Daily new COVID-19 cases (7 day moving avg.)
"Jan 1, 2020",18711,23498,23532,0
"Jan 2, 2020",19025,23941,23917,0
"Jan 3, 2020",19241,23963,23943,0
"Jan 4, 2020",19473,23993,23977,0
"Jan 5, 2020",19545,23923,24126,0
"Jan 6, 2020",19359,24147,24295,0
"Jan 7, 2020",20252,25179,25033,0
"Jan 8, 2020",21433,25804,25717,0
"Jan 9, 2020",21208,25711,25617,0
"Jan 10, 2020",21006,25601,25695,0
"Jan 11, 2020",21103,25539,25380,0
"Jan 12, 2020",21384,25293,25175,0
"Jan 13, 2020",21634,25060,25108,0
"Jan 14, 2020",21847,24997,24905,0
"Jan 15, 2020",22273,24926,24849,0
"Jan 16, 2020",22372,24916,24885,0
"Jan 17, 2020",22360,24973,24867,0
"Jan 18, 2020",22412,25160,24771,0
"Jan 19, 2020",22446,25149,24741,0
"Jan 20, 2020",22802,25198,24766,0
"Jan 21, 2020",23011,25272,24907,0
"Jan 22, 2020",23021,25349,24911,0
"Jan 23, 2020",23006,25300,24957,0
"Jan 24, 2020",23029,25305,24989,0
"Jan 25, 2020",23054,25238,24975,0.4
"Jan 26, 2020",23097,25207,24970,0.4
"Jan 27, 2020",23150,25175,24978,0.4
"Jan 28, 2020",23111,25102,24920,0.6
"Jan 29, 2020",23052,25115,24913,1.1
"Jan 30, 2020",23064,25131,24897,1.4
"Jan 31, 2020",23090,25149,24916,2.1
"Feb 1, 2020",23133,25123,24989,2.6
"Feb 2, 2020",23110,25187,25001,2.7
"Feb 3, 2020",23122,25143,25018,2.9
"Feb 4, 2020",23249,25169,25050,3.1
"Feb 5, 2020",23354,25212,25112,2.7
"Feb 6, 2020",23425,25311,25168,2.4
"Feb 7, 2020",23476,25394,25143,2
"Feb 8, 2020",23552,25511,25218,2
"Feb 9, 2020",23624,25571,24806,1.9
"Feb 10, 2020",23474,25660,24451,2.4
"Feb 11, 2020",23307,25718,24453,2.1
"Feb 12, 2020",23338,25790,24530,2.3
"Feb 13, 2020",23433,25745,24583,2.4
"Feb 14, 2020",23455,25822,24740,2.1
"Feb 15, 2020",23414,25966,24876,1.3
"Feb 16, 2020",23421,26157,25317,1.3
"Feb 17, 2020",23619,26309,25734,0.7
"Feb 18, 2020",23792,26354,25938,0.6
"Feb 19, 2020",23796,26396,26030,0.3
"Feb 20, 2020",23835,26486,26061,0.1
"Feb 21, 2020",23935,26509,26077,0.1
"Feb 22, 2020",23891,26442,26146,2.3
"Feb 23, 2020",23702,26454,26244,11.3
"Feb 24, 2020",23449,26528,26336,18.9
"Feb 25, 2020",23341,26607,26352,32.9
"Feb 26, 2020",23258,26671,26319,48.4
"Feb 27, 2020",23247,26773,26267,63.7
"Feb 28, 2020",23134,26822,26236,112.3
"Feb 29, 2020",,,26127,156.3
"Mar 1, 2020",23325,26844,26127,208.4
"Mar 2, 2020",23688,26831,26048,300.7
"Mar 3, 2020",24091,26753,26011,365.9
"Mar 4, 2020",24337,26694,26007,456.6
"Mar 5, 2020",24530,26720,25952,587.6
"Mar 6, 2020",24528,26762,25763,764.7
"Mar 7, 2020",24646,26763,25620,1003.6
"Mar 8, 2020",24610,26805,25449,1261.3
"Mar 9, 2020",24597,26762,25217,1562.4
"Mar 10, 2020",24549,26759,24891,2001.4
"Mar 11, 2020",24454,26875,24491,2385.3
"Mar 12, 2020",24459,26913,24097,3076.1
"Mar 13, 2020",24480,26854,23683,3920.4
"Mar 14, 2020",24492,26861,23245,4755.1
"Mar 15, 2020",24587,26907,22590,5767.4
"Mar 16, 2020",24657,26929,21657,6692.6
"Mar 17, 2020",24782,26965,20506,7736.9
"Mar 18, 2020",24984,26997,19154,9074.3
"Mar 19, 2020",25079,26996,17571,10271.7
"Mar 20, 2020",25076,27131,15806,12469.6
"Mar 21, 2020",25092,27210,14262,14580.7
"Mar 22, 2020",25081,27269,12500,16476.1
"Mar 23, 2020",25094,27268,10767,18160.3
"Mar 24, 2020",25114,27314,9500,20694.7
"Mar 25, 2020",25125,27263,8374,22797.7
"Mar 26, 2020",25179,27323,7417,25327.1
"Mar 27, 2020",25335,27321,6491,27320.4
"Mar 28, 2020",25521,27328,5872,29535.7
"Mar 29, 2020",25574,27318,5281,31158.9
"Mar 30, 2020",25580,27351,4889,32509
"Mar 31, 2020",25600,27523,4601,33153.7
"Apr 1, 2020",25563,27887,4403,34928.4
"Apr 2, 2020",25012,28263,4148,35899.1
"Apr 3, 2020",24957,28634,3929,35886.9
"Apr 4, 2020",24601,28947,3786,36270.1
"Apr 5, 2020",24255,29208,3691,36636.7
"Apr 6, 2020",24454,29531,3633,36274
"Apr 7, 2020",24570,29618,3584,35965.1
"Apr 8, 2020",24780,29582,3536,35082.6
"Apr 9, 2020",25399,29594,3506,34744.3
"Apr 10, 2020",25661,29657,3354,34949
"Apr 11, 2020",26202,29755,3307,34410.1
"Apr 12, 2020",26769,29896,3223,33785.3
"Apr 13, 2020",26774,30106,3077,33543.7
"Apr 14, 2020",26801,30212,3056,32674.1
"Apr 15, 2020",25699,30238,3051,32321.4
"Apr 16, 2020",23282,30246,3090,31298.4
"Apr 17, 2020",20811,30253,3218,30467.3
"Apr 18, 2020",17994,30265,3229,29290.9
"Apr 19, 2020",15309,29821,3281,28142.7
"Apr 20, 2020",13256,29728,3448,27640.7
"Apr 21, 2020",12372,29563,3493,27458.1
"Apr 22, 2020",13283,29412,3542,26700
"Apr 23, 2020",15684,29530,3592,26166.1
"Apr 24, 2020",18120,29534,3639,25079.6
"Apr 25, 2020",20878,29541,3665,24472.4
"Apr 26, 2020",23624,29854,3699,23965
"Apr 27, 2020",25778,29988,3743,23050.1
"Apr 28, 2020",26805,30229,3780,21932.1
"Apr 29, 2020",27184,30444,3809,20594.7
"Apr 30, 2020",27348,30414,3809,19755.9
"May 1, 2020",27421,30160,3684,18965.1
"May 2, 2020",27501,30133,3681,17778.1
"May 3, 2020",27523,30272,3708,16912.6
"May 4, 2020",27532,30351,3740,16208.1
"May 5, 2020",27352,30490,3770,15642.9
"May 6, 2020",27388,30620,3802,15213
"May 7, 2020",27473,30803,3875,15037.7
"May 8, 2020",27397,31119,4036,14426.4
"May 9, 2020",27160,31015,4098,14137.7
"May 10, 2020",27209,31145,4117,14054
"May 11, 2020",27132,31166,4142,13633.7
"May 12, 2020",27408,31188,4213,13268.9
"May 13, 2020",26918,31261,4269,13102.3
"May 14, 2020",26444,31191,4321,12160.1
"May 15, 2020",26553,31261,4441,11759.9
"May 16, 2020",26796,31509,4493,11252.1
"May 17, 2020",26513,31374,4532,10665.9
"May 18, 2020",26691,31381,4612,10529
"May 19, 2020",26709,31351,4658,10302.6
"May 20, 2020",27257,31357,4758,9866.7
"May 21, 2020",27876,31307,4683,9650.1
"May 22, 2020",28043,31404,4634,9392.6
"May 23, 2020",28066,31542,4653,9191.9
"May 24, 2020",28157,31796,4710,8937.6
"May 25, 2020",28207,31938,4711,8703
"May 26, 2020",28180,32060,4749,8603.3
"May 27, 2020",28070,32158,4768,8308
"May 28, 2020",28050,32376,4923,8052.4
"May 29, 2020",28126,32558,5053,8294.6
"May 30, 2020",28207,32317,5085,8247.3
"May 31, 2020",28461,32079,5070,8264
"Jun 1, 2020",28506,32239,5069,8211.7
"Jun 2, 2020",28559,32604,5131,8061
"Jun 3, 2020",28586,32777,5212,7841
"Jun 4, 2020",28544,32963,5335,7762.9
"Jun 5, 2020",28567,33057,5451,7270.6
"Jun 6, 2020",28734,33456,5569,7245.9
"Jun 7, 2020",28871,33895,5743,7196.4
"Jun 8, 2020",28900,34009,5955,7243.4
"Jun 9, 2020",28954,33784,6052,7346.1
"Jun 10, 2020",29137,33734,6139,7587.7
"Jun 11, 2020",29300,33842,6156,7649.4
"Jun 12, 2020",29361,33910,6234,7728.6
"Jun 13, 2020",29388,34111,6267,7772.4
"Jun 14, 2020",29494,34204,6326,7929.9
"Jun 15, 2020",29579,34253,6519,8111.6
"Jun 16, 2020",29626,34462,6676,8211.7
"Jun 17, 2020",29687,34691,6819,8393.1
"Jun 18, 2020",29721,34734,7030,8681
"Jun 19, 2020",29774,34788,7221,8755.6
"Jun 20, 2020",29797,34711,7410,8886.3
"Jun 21, 2020",29828,34611,7657,8901.3
"Jun 22, 2020",29859,34603,7794,8826.9
"Jun 23, 2020",29963,34632,7932,8846.4
"Jun 24, 2020",29743,34623,8073,8913.4
"Jun 25, 2020",29662,34636,8239,9019.4
"Jun 26, 2020",29722,34654,8413,9061.4
"Jun 27, 2020",29777,34794,8517,9314
"Jun 28, 2020",29727,34952,8603,9283.9
"Jun 29, 2020",29704,35078,8647,9395.1
"Jun 30, 2020",29693,35139,8721,9616.4
"Jul 1, 2020",29985,35180,9225,9607.4
"Jul 2, 2020",30115,35208,9673,9410.7
"Jul 3, 2020",30176,35235,10259,9492.6
"Jul 4, 2020",30191,35234,10880,9089.9
"Jul 5, 2020",30193,35214,11495,9132.4
"Jul 6, 2020",30181,35209,12035,9240.3
"Jul 7, 2020",30129,35150,12471,9154.3
"Jul 8, 2020",30007,35133,12528,9018.4
"Jul 9, 2020",29971,35118,12595,9143.3
"Jul 10, 2020",30010,35096,12685,9114.4
"Jul 11, 2020",29995,35072,12804,9293.1
"Jul 12, 2020",29906,35004,12877,9266.4
"Jul 13, 2020",29855,35032,12932,9367.4
"Jul 14, 2020",29652,35055,12997,9614
"Jul 15, 2020",29642,35069,13144,9832.4
"Jul 16, 2020",29557,35063,13359,10113.9
"Jul 17, 2020",29554,35036,13533,10253.1
"Jul 18, 2020",29620,35001,13729,10275.6
"Jul 19, 2020",29627,35028,13929,10357.7
"Jul 20, 2020",29596,35037,14137,10789.9
"Jul 21, 2020",29464,35005,14301,10985.1
"Jul 22, 2020",29437,34945,14345,11345.3
"Jul 23, 2020",29403,34925,14418,11676.6
"Jul 24, 2020",29427,34865,14481,12194.6
"Jul 25, 2020",29367,34771,14608,12511.4
"Jul 26, 2020",29376,34685,14683,12633
"Jul 27, 2020",29360,34630,14713,13131.1
"Jul 28, 2020",29576,34629,14733,13672.6
"Jul 29, 2020",29519,34627,14792,13893.3
"Jul 30, 2020",29521,34572,14816,14160.4
"Jul 31, 2020",29614,34609,14860,14612.4
"Aug 1, 2020",29691,34620,15143,14753.7
"Aug 2, 2020",29582,34588,15431,14916.3
"Aug 3, 2020",29483,34635,15692,15216.1
"Aug 4, 2020",29361,34630,15917,15884.7
"Aug 5, 2020",29249,34521,16126,16339.1
"Aug 6, 2020",29164,34440,16322,16916.3
"Aug 7, 2020",29109,34267,16547,17320.4
"Aug 8, 2020",29083,34197,16564,17749.3
"Aug 9, 2020",29110,34181,16601,18100
"Aug 10, 2020",29146,34168,16638,18517.6
"Aug 11, 2020",29143,34149,16636,18718
"Aug 12, 2020",29125,34148,16611,19046.7
"Aug 13, 2020",29056,34177,16583,19863.9
"Aug 14, 2020",28987,34286,16596,20341.3
"Aug 15, 2020",28944,34220,16619,20498
"Aug 16, 2020",28947,34202,16701,21097.7
"Aug 17, 2020",28979,34195,16731,22776.9
"Aug 18, 2020",29069,34264,16761,22550.9
"Aug 19, 2020",29162,34350,16836,22671.9
"Aug 20, 2020",29256,34420,16935,23053.1
"Aug 21, 2020",29251,34485,16951,24047.3
"Aug 22, 2020",29258,34695,16931,24603
"Aug 23, 2020",29339,34818,16949,24788.9
"Aug 24, 2020",29420,34813,16989,25476.7
"Aug 25, 2020",29529,34802,17034,26285
"Aug 26, 2020",29655,34851,17044,27524.9
"Aug 27, 2020",29757,34915,17110,28107.1
"Aug 28, 2020",29816,34977,17172,28267.1
"Aug 29, 2020",29877,35038,17169,28927
"Aug 30, 2020",29956,35097,17193,29327.6
"Aug 31, 2020",30116,35120,17248,30280.7
"Sep 1, 2020",30151,35094,17213,30686
"Sep 2, 2020",30186,35064,17141,30909
"Sep 3, 2020",30221,35061,17049,31537
"Sep 4, 2020",30075,35048,16978,32504.6
"Sep 5, 2020",30005,35003,16830,33078.6
"Sep 6, 2020",30014,34880,16676,34110.7
"Sep 7, 2020",29680,34722,16508,35363.7
"Sep 8, 2020",29703,34710,16426,36529.7
"Sep 9, 2020",29712,34608,16392,38176.7
"Sep 10, 2020",29757,34440,16342,39439.3
"Sep 11, 2020",29724,34374,16311,40895.6
"Sep 12, 2020",29771,34369,16222,41583.1
"Sep 13, 2020",29774,34439,16194,42904
"Sep 14, 2020",30053,34414,16124,43779.7
"Sep 15, 2020",30058,34367,16063,44338.3
"Sep 16, 2020",30055,34422,15980,46183.4
"Sep 17, 2020",30002,34490,15893,46951.4
"Sep 18, 2020",29885,34453,15817,48753.3
"Sep 19, 2020",29756,34391,15716,50491.9
"Sep 20, 2020",29690,34352,15620,51594.9
"Sep 21, 2020",29625,34276,15551,53453.3
"Sep 22, 2020",29544,34191,15490,54431.9
"Sep 23, 2020",29183,34140,15433,54058.7
"Sep 24, 2020",29183,34057,15379,56657.4
"Sep 25, 2020",29148,34056,15322,58413.6
"Sep 26, 2020",29104,34001,15271,59529
"Sep 27, 2020",29059,33888,15206,61546.9
"Sep 28, 2020",29000,33856,15148,62176.7
"Sep 29, 2020",28731,33807,15107,61870.4
"Sep 30, 2020",29105,33713,15131,62774.9
"Oct 1, 2020",29196,33553,15053,63368
"Oct 2, 2020",29134,33369,14924,63472.3
"Oct 3, 2020",29108,33143,14814,65151.1
"Oct 4, 2020",29036,32976,14669,66686.9
"Oct 5, 2020",28955,32773,14566,68259.6
"Oct 6, 2020",29127,32635,14395,72745.3
"Oct 7, 2020",28944,32494,14198,76140.4
"Oct 8, 2020",28707,32340,14109,79933.6
"Oct 9, 2020",28626,32102,14136,85323
"Oct 10, 2020",28516,32052,14118,89482.7
"Oct 11, 2020",28425,32034,14107,94613.3
"Oct 12, 2020",28109,31963,14057,97196.9
"Oct 13, 2020",28049,31863,14018,99231.4
"Oct 14, 2020",28001,31790,13971,103912.1
"Oct 15, 2020",27950,31771,13853,109529
"Oct 16, 2020",27871,31805,13848,115423.3
"Oct 17, 2020",27799,31781,13880,121679.3
"Oct 18, 2020",27780,31719,13871,125699.4
"Oct 19, 2020",27764,31689,13818,133950.4
"Oct 20, 2020",27676,31605,13740,140547.1
"Oct 21, 2020",27634,31599,13644,146642.6
"Oct 22, 2020",27650,31559,13651,155368.6
"Oct 23, 2020",27711,31554,13523,164097.3
"Oct 24, 2020",27706,31520,13461,173981.1
"Oct 25, 2020",27626,31411,13378,183126.6
"Oct 26, 2020",27838,31379,13313,192654
"Oct 27, 2020",27852,31089,13270,201592.9
"Oct 28, 2020",27630,30705,13244,212130.4
"Oct 29, 2020",27546,30303,13203,219309
"Oct 30, 2020",27437,29866,13116,227269
"Oct 31, 2020",27143,29392,12983,233806.6
"Nov 1, 2020",26682,28783,,
"Nov 2, 2020",26363,28162,,
"Nov 3, 2020",26096,28053,,
"Nov 4, 2020",25991,27965,,
"Nov 5, 2020",25698,27820,,
"Nov 6, 2020",25306,27595,,
"Nov 7, 2020",25242,27328,,
"Nov 8, 2020",25424,27387,,
"Nov 9, 2020",25414,27155,,
"Nov 10, 2020",25363,26928,,
"Nov 11, 2020",25151,26740,,
"Nov 12, 2020",24961,26563,,
"Nov 13, 2020",24871,26428,,
"Nov 14, 2020",24806,26469,,
"Nov 15, 2020",24811,26518,,
"Nov 16, 2020",24725,26500,,
"Nov 17, 2020",24666,26463,,
"Nov 18, 2020",24780,26481,,
"Nov 19, 2020",24894,26462,,
"Nov 20, 2020",24896,26474,,
"Nov 21, 2020",24910,26404,,
"Nov 22, 2020",24896,26398,,
"Nov 23, 2020",24940,26359,,
"Nov 24, 2020",24907,26349,,
"Nov 25, 2020",24927,26218,,
"Nov 26, 2020",24829,26179,,
"Nov 27, 2020",24755,26138,,
"Nov 28, 2020",24628,26112,,
"Nov 29, 2020",24375,26034,,
"Nov 30, 2020",24163,26026,,
"Dec 1, 2020",23734,25982,,
"Dec 2, 2020",23287,26089,,
"Dec 3, 2020",23054,26124,,
"Dec 4, 2020",22691,26205,,
"Dec 5, 2020",22661,26081,,
"Dec 6, 2020",22604,25995,,
"Dec 7, 2020",22598,25975,,
"Dec 8, 2020",22744,25996,,
"Dec 9, 2020",22979,26003,,
"Dec 10, 2020",23247,25914,,
"Dec 11, 2020",23621,25923,,
"Dec 12, 2020",23674,26067,,
"Dec 13, 2020",23916,26112,,
"Dec 14, 2020",24121,26214,,
"Dec 15, 2020",24354,26247,,
"Dec 16, 2020",24352,26272,,
"Dec 17, 2020",23934,26367,,
"Dec 18, 2020",23766,26458,,
"Dec 19, 2020",23344,26661,,
"Dec 20, 2020",22884,26883,,
"Dec 21, 2020",22529,27280,,
"Dec 22, 2020",22363,27361,,
"Dec 23, 2020",22153,27157,,
"Dec 24, 2020",21135,26191,,
"Dec 25, 2020",20140,24296,,
"Dec 26, 2020",20225,23552,,
"Dec 27, 2020",20090,23112,,
"Dec 28, 2020",19829,22925,,
"Dec 29, 2020",19438,22798,,
"Dec 30, 2020",19251,22639,,
"Dec 31, 2020",19212,22685,,